City Id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
340,Namie,37.48,141.0,46.99,51,100,1.54,JP,overcast clouds
341,Qunduz,36.73,68.86,40.71,84,88,0.69,AF,overcast clouds
342,Mugur-Aksy,50.35,90.5,0.54,70,100,3.69,RU,overcast clouds
343,Jishou,28.32,109.72,43.18,73,100,0.4,CN,overcast clouds
344,Banyo,6.75,11.82,66.99,43,100,2.39,CM,overcast clouds
345,Awjilah,29.11,21.29,56.23,58,0,12.46,LY,clear sky
346,Springbok,-29.66,17.89,48.38,81,0,3.69,ZA,clear sky
347,Balykshi,47.07,51.87,26.6,86,59,17.9,KZ,mist
348,Buluang,13.31,123.34,83.79,69,95,5.53,PH,overcast clouds
349,Jining,35.41,116.58,37.35,78,4,4.5,CN,clear sky
350,Vanavara,60.34,102.28,5.92,95,100,4.7,RU,light snow
351,Faanui,-16.48,-151.75,81.64,74,36,5.55,PF,scattered clouds
352,Qui Nhon,13.77,109.23,77.4,87,100,21.0,VN,moderate rain
353,Boke,10.94,-14.3,72.61,68,88,1.81,GN,overcast clouds
354,Ayan,56.45,138.17,6.78,90,100,16.15,RU,overcast clouds
355,Biak,-0.91,122.88,83.23,66,99,1.57,ID,light rain
356,Juan Aldama,24.29,-103.39,62.31,42,0,3.91,MX,clear sky
357,College,64.86,-147.8,-0.4,77,75,3.2,US,broken clouds
358,Palmer,42.16,-72.33,42.8,52,20,17.22,US,few clouds
359,Salym,60.06,71.48,2.84,94,0,3.96,RU,clear sky
360,Kodiak,57.79,-152.41,35.6,83,90,1.74,US,overcast clouds
361,Ust-Ishim,57.69,71.17,0.72,93,13,3.74,RU,few clouds
